id,db_name,available_geos,available_periods,db_source
94,s_probsolv_sex,AUT+CAN+CHL+CZE+DNK+EST+FIN+FRA+DEU+HUN+IRL+ISR+ITA+JPN+KOR+LVA+LTU+NLD+NZL+NOR+POL+PRT+SVK+ESP+SWE+CHE+USA+ENG+BFL+OECD+HRV,2023+2023,Education at a Glance - OECD
95,s_probsolv_age,AUT+CAN+CHL+CZE+DNK+EST+FIN+FRA+DEU+HUN+IRL+ISR+ITA+JPN+KOR+LVA+LTU+NLD+NZL+NOR+POL+PRT+SVK+ESP+SWE+CHE+USA+ENG+BFL+OECD+HRV,2023+2023,Education at a Glance - OECD
96,e_gender_violence,AT+BE+BG+CY+CZ+DE+DK+EE+EL+ES+EU_V+FI+FR+HR+HU+IE+IT+LT+LU+LV+ME+MT+NL+PL+PT+RO+RS+SE+SI+SK+XK,2021+2021,eurostat
97,e_gender_violence_spec,AT+BE+BG+CY+CZ+DE+DK+EE+EL+ES+EU_V+FI+FR+HR+HU+IE+IT+LT+LU+LV+ME+MT+NL+PL+PT+RO+RS+SE+SI+SK+XK,2021+2021,eurostat
98,o_infl_contrib,AUT+BEL+CAN+CHL+COL+DEU+DNK+ESP+EST+FIN+FRA+GBR+GRC+IRL+ISL+ISR+ITA+JPN+KOR+LTU+LVA+MEX+NLD+NOR+POL+PRT+SVN+SWE+TUR+USA,2010+2025,oecd
99,e_demographic,DE+ES+FR+IT,2018+2023,eurostat
100,e_earnings,DE+ES+FR+IT,2002+2022,eurostat
101,e_income,DE+ES+FR+IT,2018+2023,eurostat
102,e_employment,DE+ES+FR+IT,2018Q1+2023Q4,eurostat
105,o_trust_satisf,AUS+AUT+BEL+CAN+CHL+COL+CRI+DEU+DNK+ESP+EST+FIN+FRA+GBR+GRC+IRL+ISL+ITA+JPN+KOR+LTU+LVA+MEX+NLD+NOR+NZL+POL+PRT+SVN+SWE+TUR+USA,2021+2023,oecd
106,e_government,DE+ES+FR+IT,2018+2024,eurostat
107,e_schooling_student,AL+AT+BA+BE+BG+CH+CY+CZ+DE+DK+EE+EL+ES+EU27_2020+EU28+FI+FR+HR+HU+IE+IS+IT+LI+LT+LU+LV+ME+MK+MT+NL+NO+PL+PT+RO+RS+SE+SI+SK+TR+UK,2012+2024,eurostat
108,e_schooling_teacher,AL+AT+BA+BE+BG+CH+CY+CZ+DE+DK+EE+EL+ES+EU27_2020+EU28+FI+FR+HR+HU+IE+IS+IT+LI+LT+LU+LV+ME+MK+MT+NL+NO+PL+PT+RO+RS+SE+SI+SK+TR+UK,2013+2023,eurostat
