Tipologia di imposta;Anno;Valore;Unita
IRPEF lavoro autonomo e impresa;2014;31659.0;Entrate (milioni di euro)
IRES;2014;10375.0;Entrate (milioni di euro)
IVA;2014;36238.0;Entrate (milioni di euro)
IRAP;2014;8420.0;Entrate (milioni di euro)
LOCAZIONI;2014;1397.0;Entrate (milioni di euro)
CANONE RAI;2014;977.0;Entrate (milioni di euro)
IMU;2014;5225.0;Entrate (milioni di euro)
Totale entrate tributarie;2014;99439.0;Entrate (milioni di euro)
Totale entrate tributarie al netto del lavoro dipendente;2014;94290.0;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2014;2602.0;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2014;8688.0;Entrate (milioni di euro)
Totale entrate contributive;2014;11290.0;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2014;110729.0;Entrate (milioni di euro)
IRPEF lavoro dipendente (irregolare);2014;3.8;Propensione (%)
IRPEF lavoro autonomo e impresa;2014;67.6;Propensione (%)
IRES;2014;29.3;Propensione (%)
IVA;2014;27.6;Propensione (%)
IRAP;2014;22.9;Propensione (%)
LOCAZIONI;2014;15.6;Propensione (%)
CANONE RAI;2014;35.6;Propensione (%)
IMU;2014;27.3;Propensione (%)
Totale al netto del lavoro dipendente;2014;33.5;Propensione (%)
Totale;2014;23.9;Propensione (%)
IRPEF lavoro dipendente (irregolare);2015;4204.0;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2015;32206.0;Entrate (milioni di euro)
Addizionali locali IRPEF (lavoro dipendente);2015;780.0;Entrate (milioni di euro)
IRES;2015;8389.0;Entrate (milioni di euro)
IVA;2015;34957.0;Entrate (milioni di euro)
IRAP;2015;5497.0;Entrate (milioni di euro)
LOCAZIONI;2015;1275.0;Entrate (milioni di euro)
CANONE RAI;2015;977.0;Entrate (milioni di euro)
ACCISE sui prodotti energetici;2015;1430.0;Entrate (milioni di euro)
IMU-TASI;2015;5113.0;Entrate (milioni di euro)
Totale entrate tributarie;2015;94827.0;Entrate (milioni di euro)
Totale entrate tributarie (al netto accise e IMU);2015;88285.0;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2015;2784.0;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2015;8516.0;Entrate (milioni di euro)
Totale entrate contributive;2015;11300.0;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2015;106127.0;Entrate (milioni di euro)
IRPEF lavoro dipendente (irregolare);2015;2.9;Propensione (%)
IRPEF lavoro autonomo e impresa;2015;65.1;Propensione (%)
Addizionali locali IRPEF (lavoro dipendente);2015;7.3;Propensione (%)
IRES;2015;23.4;Propensione (%)
IVA;2015;26.6;Propensione (%)
IRAP;2015;20.2;Propensione (%)
LOCAZIONI;2015;14.8;Propensione (%)
CANONE RAI;2015;35.5;Propensione (%)
ACCISE sui prodotti energetici;2015;7.5;Propensione (%)
IMU-TASI;2015;26.53;Propensione (%)
Totale;2015;21.1;Propensione (%)
Totale al netto accise e IMU;2015;21.4;Propensione (%)
IRPEF lavoro dipendente (irregolare);2016;4103.0;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2016;33362.0;Entrate (milioni di euro)
Addizionali locali IRPEF (lavoro dipendente);2016;768.0;Entrate (milioni di euro)
IRES;2016;10293.0;Entrate (milioni di euro)
IVA;2016;34659.0;Entrate (milioni di euro)
IRAP;2016;4946.0;Entrate (milioni di euro)
LOCAZIONI;2016;767.0;Entrate (milioni di euro)
CANONE RAI;2016;1008.0;Entrate (milioni di euro)
ACCISE sui prodotti energetici;2016;1611.0;Entrate (milioni di euro)
IMU-TASI;2016;5240.0;Entrate (milioni di euro)
Totale entrate tributarie;2016;96756.0;Entrate (milioni di euro)
Totale entrate tributarie (al netto accise e IMU);2016;89905.0;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2016;2764.0;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2016;8119.0;Entrate (milioni di euro)
Totale entrate contributive;2016;10883.0;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2016;107639.0;Entrate (milioni di euro)
