"MODEL","SCENARIO","REGION","VARIABLE","UNIT",2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2439.911,1625.8105,1274.6045,319.5677,-217.259,-626.8526000000002,-755.0418999999999,-816.2905000000001,-836.6156000000001,-833.6236000000001,-812.7404
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|F-Gases","Mt CO2-equiv/yr",83.00399999999999,127.4349,220.95839999999998,156.19910000000002,43.0254,42.641799999999996,39.3085,35.795700000000004,32.009299999999996,28.009800000000002,23.5663
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|Kyoto Gases","Mt CO2-equiv/yr",15994.9961,16509.0795,18490.065199999997,8561.301899999999,4631.34,2324.5013,971.387,425.0808,128.5453,-31.900200000000005,-200.8202
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|N2O","kt N2O/yr",3109.8264999999997,3340.6205,3738.0126,2073.8613,1927.3415,1837.1567,1646.9635,1520.9432,1391.5435,1280.7802000000001,1142.636
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|N2O|Land Use","kt N2O/yr",2325.5684,2492.0855,2773.9835999999996,1752.9298,1703.1698000000001,1666.2116999999998,1530.3727000000001,1429.7726,1319.7705999999998,1220.9096,1094.7231000000002
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|NH3","Mt NH3/yr",23.271,24.412799999999997,26.367500000000003,26.120500000000003,26.1372,26.1404,25.2227,24.2506,23.0807,21.9204,20.404899999999998
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|NOx","Mt NO2/yr",34.342999999999996,34.6737,31.915300000000002,14.9181,9.6907,7.021999999999999,5.799999999999999,5.0853,4.4591,3.9406999999999996,3.4309000000000003
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|OC","Mt OC/yr",13.0634,11.7849,9.8156,6.8007,5.2373,4.048,3.6669,3.3555,3.0583,2.7873,2.5386
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|Sulfur","Mt SO2/yr",48.2788,38.2796,31.5165,10.7716,5.5202,2.9592,2.3127000000000004,1.9691,1.6751,1.4325,1.1983000000000001
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|VOC","Mt VOC/yr",70.23400000000001,68.2629,62.516299999999994,49.7254,43.4655,38.605900000000005,32.442099999999996,27.1122,21.9207,17.0012,12.2816
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy","EJ/yr",89.88170000000001,95.55309999999999,107.054,94.77020000000002,99.3339,100.8757,98.294,94.1751,88.1005,81.15899999999999,73.95009999999999
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy|Electricity","EJ/yr",12.921700000000001,16.7388,25.3092,33.5363,49.098699999999994,59.791599999999995,67.6624,69.2678,67.69489999999999,63.9714,59.8201
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy|Gases","EJ/yr",4.8725000000000005,5.409,6.4201,3.9422999999999995,2.3144,1.2895,0.5228,0.3008,0.1786,0.1404,0.09190000000000001
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy|Heat","EJ/yr",1.9807000000000001,2.6641,4.144,5.8642,8.1706,8.9421,9.254000000000001,8.9078,8.300799999999999,7.541,6.759
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy|Industry","EJ/yr",43.3994,45.55539999999999,50.0964,42.37479999999999,44.810100000000006,45.845499999999994,44.848499999999994,43.224000000000004,40.5417,37.4731,34.3523
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy|Liquids","EJ/yr",26.614199999999997,30.3251,37.196799999999996,32.6561,24.060000000000002,17.5751,9.961200000000002,6.9932,5.2158999999999995,4.4912,3.6463
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy|Residential and Commercial","EJ/yr",36.8028,38.6456,42.0271,39.9896,41.739999999999995,42.156600000000005,41.2083,39.2722,36.6813,33.7186,30.609699999999997
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy|Solids","EJ/yr",42.954,39.722500000000004,32.9761,18.520200000000003,15.512599999999999,13.157699999999998,10.8362,8.667599999999998,6.6849,4.9938,3.6179
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy|Solids|Biomass","EJ/yr",23.530500000000004,22.3294,19.7111,17.2558,15.1859,13.0439,10.8077,8.654,6.6766,4.9873,3.6127
